Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Eligible for sync-only verif?,Verif CPU time (usecs),Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Bug type,,
broadcast_test,indium,ls-id-log-20160504111318.log.4cc9q3.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,iodine,ls-id-log-20160510223519.log.ECcfqO.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,iridium,ls-id-log-20160504035157.log.AW9h67.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,iron,ls-id-log-20160510214412.log.IjLvoc.gz,1,0,18370229,40306476,,,2,4,0,,,
broadcast_test,kyrpton,ls-id-log-20160510043703.log.rEr6M3.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,lanthanum,ls-id-log-20160510043706.log.CMHfCo.gz,1,0,21425798,52790901,,,2,2,0,,,
broadcast_test,lithium,ls-id-log-20160511215200.log.iKxBLB.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,lutetium,ls-id-log-20160512010346.log.FvaqqJ.gz,0,0,,,(QS had DR PPs),,2,4,4,,,
broadcast_test,magnesium,ls-id-log-20160512022400.log.pMEBsN.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,manganese,ls-id-log-20160511192016.log.ialozt.gz,0,1,,,verif,76779925,2,4,0,,,
broadcast_test,molybdenum,ls-id-log-20160504035539.log.6ypYHu.gz,0,1,,,verif-despite-malloc-recycles,87114349,2,4,2,,,
broadcast_test,neodymium,ls-id-log-20160512005926.log.So4Pia.gz,0,0,,,(QS had DR PPs),,2,4,1,,,
broadcast_test,neon,ls-id-log-20160511212311.log.UJbOtv.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
broadcast_test,nickel,ls-id-log-20160504093153.log.tamk3y.gz,0,0,,,(QS had DR PPs),,2,4,14,,,
broadcast_test,niobium,ls-id-log-20160510160802.log.HlDU7w.gz,0,1,,,verif,72688754,2,4,0,,,
broadcast_test,nitrogen,ls-id-log-20160510214251.log.jnWGYK.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,osmium,ls-id-log-20160510234529.log.ltp94t.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,oxygen,ls-id-log-20160512022331.log.GWUzT3.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,palladium,ls-id-log-20160511152557.log.9zQDPj.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
