Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Data-race (DR) PPs needed?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Verif CPU time (usecs),Mutual timeout with ICB? (table 1 in paper),Completed DR PPs,Total DR PPs,Untested DR PPs,Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Malloc-recycle NOT false positives,Bug type,,,,,
broadcast_test,holmium,ls-id-log-20160427233127.log.bMJWrr.gz,0,0,0,,,,0,9,9,0,11,279,0,0,,,,,,
broadcast_test,hydrogen,ls-id-log-20160427105940.log.DupZoL.gz,0,0,1,,,2118573884,0,2,2,0,4,16,1,0,,,,,,
broadcast_test,indium,ls-id-log-20160427095407.log.77cLC2.gz,0,0,0,,,,0,21,21,0,24,327,0,0,,,,,,
broadcast_test,iodine,ls-id-log-20160427074910.log.rkEAmD.gz,0,0,0,,,,0,6,6,0,8,141,0,0,,,,,,
broadcast_test,iridium,ls-id-log-20160429153634.log.r2qZVi.gz,0,0,1,,,8467971272,0,4,4,0,6,121,0,0,,,,,,
broadcast_test,iron,ls-id-log-20160428035231.log.4szQeD.gz,1,0,0,18303035,41406742,,0,3,3,0,5,13,0,0,,,,,,
broadcast_test,kyrpton,ls-id-log-20160428031732.log.lVxHOY.gz,0,0,0,,,,0,10,10,0,21,50,0,0,,,,,,
broadcast_test,lanthanum,ls-id-log-20160427131006.log.ofyjgr.gz,1,0,0,18918644,44427751,,0,0,6,6,3,3,0,0,,,,,,
broadcast_test,lithium,ls-id-log-20160427120756.log.Y9fM0i.gz,0,0,0,,,,0,4,35,31,39,51,0,0,,,,,,
broadcast_test,lutetium,ls-id-log-20160428015017.log.Jxqdke.gz,0,0,1,,,5034909381,0,3,3,0,5,28,4,0,,,,,,
broadcast_test,magnesium,ls-id-log-20160427221111.log.QOIJID.gz,0,0,1,,,477288275,0,2,2,0,4,15,0,0,,,,,,
broadcast_test,manganese,ls-id-log-20160427112714.log.Nn7OHk.gz,0,0,1,,,73344402,0,0,0,0,2,4,0,0,,,,,,
broadcast_test,molybdenum,ls-id-log-20160427125308.log.2KmlZU.gz,0,0,1,,,88006637,0,0,0,0,2,4,2,0,,,,,,
broadcast_test,neodymium,ls-id-log-20160427105008.log.VqHdRG.gz,0,0,1,,,6614048649,0,4,4,0,6,49,1,0,,,,,,
broadcast_test,neon,ls-id-log-20160427034415.log.zTVfe1.gz,0,0,0,,,,1,5,5,0,7,36,0,0,,,,,,
