Test name,P2/Pintos group ID (anonymized),Log file name,Bug found with single-pass DR PPs only?,Bug found with nondeterministic DR PPs? (possibly in addition),Bug required nondeterministic DR PPs?,"Deterministic DR PPs used (if found multiple times, separated by slashes)","Nondeterministic DR PPs used (if found multiple times, separated by slashes)"
thr_exit_join,hafnium,ls-id-log-20160810043503.log.uzgjsF.gz,0,1,1,,mutex_unlock' 'DR 5@ 0x1000ec8' [NONDET] /'mutex_lock' 'DR 5@ 0x1000ec8' [NONDET] /
thr_exit_join,indium,ls-id-log-20160810195155.log.tqJN1j.gz,1,1,0,DR 4@ 0x1000deb' /'DR 4@ 0x10011f5' /'DR 4@ 0x1000820' /'mutex_lock' 'DR 5@ 0x1000942' /'mutex_lock' 'DR 4@ 0x1000a30' /'mutex_lock' 'DR 5@ 0x1000b5a' /'DR 4@ 0x1000dee' /'DR 5@ 0x102917' /'DR 4@ 0x10011ab' [FRM-FP] /'DR 4@ 0x100113e' [FRM-FP] /,DR 4@ 0x1000885' [NONDET] /'DR 4@ 0x100185d' [NONDET] /'DR 4@ 0x1000de4' [NONDET] /'DR 4@ 0x100188c' [NONDET] /'DR 4@ 0x10011e6' [NONDET] /'DR 4@ 0x10011e9' [NONDET] /
thr_exit_join,iridium,ls-id-log-20160810033337.log.oViqPO.gz,1,0,0,DR 4@ 0x1000dce' /'mutex_unlock' 'DR 5@ 0x1000dce' /'DR 4@ 0x100123c' 'DR 5@ 0x1000dce' /,
thr_exit_join,lithium,ls-id-log-20160810124333.log.dlt2cv.gz,1,1,0,DR 4@ 0x100183d' /,DR 4@ 0x100176e' 'DR 5@ 0x10012b4' [NONDET] 'DR 5@ 0x100126e' [NONDET] /'DR 4@ 0x100176e' 'DR 5@ 0x100129b' [NONDET] 'DR 5@ 0x100126e' [NONDET] /
thr_exit_join,nickel,ls-id-log-20160810003019.log.g5qMPQ.gz,0,1,1,,mutex_lock' 'DR 4@ 0x10009ea' [NONDET] /'mutex_lock' 'DR 5@ 0x100017f' [NONDET] 'DR 4@ 0x1000b31' [NONDET] /'mutex_unlock' 'DR 4@ 0x1000fbf' [FRM-FP] 'DR 4@ 0x10009ea' [NONDET] /'mutex_unlock' 'DR 4@ 0x1000d07' [FRM-FP] 'DR 4@ 0x10009ea' [NONDET] /
thr_exit_join,nitrogen,ls-id-log-20160810023214.log.6ZYTze.gz,1,0,0,mutex_unlock' 'DR 4@ 0x100030c' /,
thr_exit_join,phosphorus,ls-id-log-20160810043454.log.rZtYOJ.gz,0,1,1,,mutex_lock' 'DR 5@ 0x1000b27' [NONDET] /'mutex_lock' 'DR 5@ 0x1000b24' [NONDET] /'mutex_lock' 'DR 5@ 0x1000b28' [NONDET] /'mutex_lock' 'DR 5@ 0x1000b2b' [NONDET] /'mutex_lock' 'DR 5@ 0x1001cb2' [NONDET] /
thr_exit_join,yttrium,ls-id-log-20160812022459.log.YuxBkZ.gz,0,1,1,,DR 4@ 0x1000b4a' 'DR 5@ 0x1000b7c' [NONDET] /'DR 4@ 0x1000b53' 'DR 5@ 0x1000b7c' [NONDET] /
wait-simple,ethiopia,ls-id-log-20160810053713.log.t9e6ac.gz,1,1,0,sema_up' 'DR 1@ 0xc0023245' 'DR 3@ 0xc0020bda' /'sti' 'DR 3@ 0xc0020bda' /'sema_down' 'DR 4@ 0xc0023245' 'DR 3@ 0xc0020bda' /'cli' 'DR 3@ 0xc0023094' 'DR 1@ 0xc0023245' 'DR 3@ 0xc0020bda' /,sti' 'DR 3@ 0xc0022c37' [NONDET] /'sti' 'DR 3@ 0xc0022c3a' [NONDET] /'sti' 'DR 1@ 0xc0022c37' [NONDET] /'sti' 'DR 3@ 0xc0022c32' [NONDET] /'sti' 'DR 1@ 0xc0022c3a' [NONDET] /'cli' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0022c37' [NONDET] /'sti' 'DR 1@ 0xc0022c32' [NONDET] /'cli' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0022c30' [NONDET] /'sema_up' 'DR 3@ 0xc0023245' 'DR 3@ 0xc002adf4' 'DR 1@ 0xc0022c32' [NONDET] 'DR 1@ 0xc0022c2d' [NONDET] /'sema_up' 'DR 1@ 0xc0023245' 'DR 3@ 0xc0022c30' [NONDET] /'sti' 'DR 3@ 0xc0022c30' [NONDET] /'sema_up' 'DR 3@ 0xc0023245' 'DR 4@ 0xc0023275' 'DR 1@ 0xc0022c32' [NONDET] /'sema_up' 'DR 3@ 0xc0023245' 'DR 3@ 0xc0020ce2' 'DR 1@ 0xc0022c37' [NONDET] /'sema_down' 'DR 3@ 0xc0023245' 'DR 4@ 0xc0023094' 'DR 1@ 0xc0022c32' [NONDET] /'sema_down' 'DR 4@ 0xc0023245' 'DR 3@ 0xc0022c3a' [NONDET] /'sema_down' 'DR 4@ 0xc0023245' 'DR 3@ 0xc0022c32' [NONDET] /'sema_down' 'DR 4@ 0xc0023245' 'DR 3@ 0xc0022c37' [NONDET] /'sema_down' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0023094' 'DR 1@ 0xc0022c3a' [NONDET] /'sema_down' 'DR 4@ 0xc0023245' 'DR 4@ 0xc002c5c8' 'DR 3@ 0xc0022c30' [NONDET] /'sema_down' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0023094' 'DR 1@ 0xc0022c32' [NONDET] /'sema_down' 'DR 4@ 0xc0023245' 'DR 3@ 0xc0023275' 'DR 3@ 0xc0022c30' [NONDET] /'sema_up' 'DR 3@ 0xc0023245' 'DR 3@ 0xc0020ce2' 'DR 1@ 0xc0022c3a' [NONDET] /'sema_up' 'DR 3@ 0xc0023245' 'DR 3@ 0xc0020ce2' 'DR 1@ 0xc0022c32' [NONDET] /'sema_down' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0022c3a' [NONDET] /'sema_down' 'DR 4@ 0xc0023245' 'DR 3@ 0xc002adf4' 'DR 3@ 0xc0022c30' [NONDET] /'sema_up' 'DR 3@ 0xc0023245' 'DR 4@ 0xc002c5c8' 'DR 1@ 0xc0022c32' [NONDET] 'DR 1@ 0xc0022c28' [NONDET] /'sema_down' 'DR 4@ 0xc0023245' 'DR 3@ 0xc0022c30' [NONDET] /'sema_up' 'DR 3@ 0xc0023094' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0022c32' [NONDET] 'DR 1@ 0xc0022c2d' [NONDET] /'sema_up' 'DR 3@ 0xc0023245' 'DR 4@ 0xc0023094' 'DR 1@ 0xc0022c32' [NONDET] 'DR 1@ 0xc0022c28' [NONDET] /'sema_down' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0022c37' [NONDET] /'sema_up' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0022c37' [NONDET] /'sema_down' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0022c32' [NONDET] /'sema_up' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0022c30' [NONDET] /'sema_down' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0022c30' [NONDET] /'sema_up' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0022c32' [NONDET] /'sema_up' 'DR 3@ 0xc0023245' 'DR 1@ 0xc0022c3a' [NONDET] /
wait-simple,india,ls-id-log-20160810075546.log.iu5B2g.gz,1,0,0,DR 4@ 0xc0028b6a' /'sema_down' 'DR 3@ 0xc0028b62' /'sema_up' 'DR 4@ 0xc002b766' 'DR 3@ 0xc0028b62' /'sema_up' 'DR 3@ 0xc0028b62' /,
wait-simple,iran,ls-id-log-20160811012022.log.FaBr32.gz,0,1,1,,cli' 'DR 4@ 0xc00292f3' [NONDET] /
wait-simple,malaysia,ls-id-log-20160810033418.log.91JLKf.gz,0,1,1,,sti' 'DR 4@ 0xc0020e7c' [NONDET] /'sti' 'DR 4@ 0xc00254d1' [NONDET] 'DR 4@ 0xc0022b50' [NONDET] /'sti' 'DR 3@ 0xc002f0c6' [NONDET] 'DR 3@ 0xc00309bd' [NONDET] /'sti' 'DR 3@ 0xc0022c6e' [NONDET] 'DR 3@ 0xc00309bd' [NONDET] /'sti' 'DR 4@ 0xc002f49a' [NONDET] 'DR 4@ 0xc002f436' [NONDET] /'sti' 'DR 3@ 0xc002efd2' 'DR 3@ 0xc002efa2' [NONDET] /
wait-simple,peru,ls-id-log-20160810075321.log.skkgdH.gz,1,0,0,DR 1@ 0xc0028d0a' /,
wait-simple,romania,ls-id-log-20160810044743.log.Y0URVf.gz,1,0,0,DR 4@ 0xc002966b' /'sema_down' 'DR 3@ 0xc0029663' /'sema_up' 'DR 4@ 0xc0023625' 'DR 3@ 0xc0029663' /'sema_up' 'DR 3@ 0xc0023625' 'DR 3@ 0xc0029663' /'sema_up' 'DR 3@ 0xc0029663' 'DR 1@ 0xc00234e5' /'sema_up' 'DR 3@ 0xc00234e5' 'DR 3@ 0xc0029663' /'sema_up' 'DR 4@ 0xc00234e5' 'DR 3@ 0xc0029663' /'sema_up' 'DR 3@ 0xc0029663' 'DR 3@ 0xc002960a' /'sema_up' 'DR 3@ 0xc0029663' 'DR 4@ 0xc0029663' /,
wait-simple,tunisia,ls-id-log-20160810124341.log.M5wxaW.gz,1,0,0,DR 4@ 0xc00293da' /'sema_up' 'DR 3@ 0xc00293d2' /,
