Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Timed out?,Total verif?,Bug time (wall=CPU) (usecs),Verif CPU time (usecs),Max ICB bound (table 2 in paper),# interleavings in max ICB bound state space,Estimated progress in max ICB bound state space (weighted backtrack estimator),ETA of max ICB bound state space (recursive estimator (note: may disagree with weighted backtrack estimator)),Bug trace filename
alarm-simultaneous,algeria,ls-id-log-20160414174103.log.TlyIA3.gz,0,1,0,,,1,,0.00%,1264035716y 267d 7h 22m 17s,
alarm-simultaneous,angola,ls-id-log-20160803021941.log.ib1EbH.gz,0,1,0,,,2,,0.00%,64081734y 40d 23h 12m 51s,
alarm-simultaneous,argentina,ls-id-log-20160509225641.log.h5ktsA.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,australia,ls-id-log-20160414173752.log.oQl5g2.gz,1,0,0,24133281114,,1,3724,,,landslide-trace-1460669886.84.html
alarm-simultaneous,benelux,ls-id-log-20160428180202.log.00KN1Q.gz,1,0,0,35086521026,,1,3371,,,landslide-trace-1461880940.97.html
alarm-simultaneous,bolivia,ls-id-log-20160504024519.log.1VNHqs.gz,1,0,0,22924825920,,1,4464,,,landslide-trace-1462344329.74.html
alarm-simultaneous,botswana,ls-id-log-20160413231229.log.dp5tbo.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,brazil,ls-id-log-20160414041228.log.EsdUWr.gz,0,1,0,,,2,,0.00%,23285y 205d 17h 59m 52s,
alarm-simultaneous,costarica,ls-id-log-20160509225614.log.1hbtGr.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,cuba,ls-id-log-20160417061937.log.NFELyb.gz,1,0,0,6199699955,,1,1754,,,landslide-trace-1460888390.09.html
alarm-simultaneous,czechoslovakia,ls-id-log-20160509225634.log.4Lfvta.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,denmark,ls-id-log-20160413230234.log.bYpgWV.gz,1,0,0,21571964115,,1,3679,,,landslide-trace-1460602965.9.html
alarm-simultaneous,eastgermany,ls-id-log-20160413230337.log.xzBoYQ.gz,1,0,0,95979168,,1,21,,,landslide-trace-1460603029.39.html
alarm-simultaneous,ecuador,ls-id-log-20160415002100.log.lHmmVu.gz,1,0,0,26752422342,,1,2967,,,landslide-trace-1460694077.68.html
alarm-simultaneous,finland,ls-id-log-20160413230231.log.p091lt.gz,0,1,0,,,1,,0.00%,2524473100y 75d 12h 49m 14s,
alarm-simultaneous,france,ls-id-log-20160502213534.log.gNb8DU.gz,1,0,0,14911821122,,1,2710,,,landslide-trace-1462239348.26.html
alarm-simultaneous,haiti,ls-id-log-20160413230406.log.v4WuL9.gz,1,0,0,8616749309,,1,1757,,,landslide-trace-1460603058.45.html
alarm-simultaneous,honduras,ls-id-log-20160415063659.log.wfgatA.gz,1,0,0,145436986,,1,30,,,landslide-trace-1460716636.29.html
alarm-simultaneous,indonesia,ls-id-log-20160413231838.log.Mtbg3r.gz,1,0,0,112016980,,1,34,,,landslide-trace-1460603928.77.html
alarm-simultaneous,iran,ls-id-log-20160413230602.log.9X3TJZ.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,iraq,ls-id-log-20160414222458.log.PWSs5F.gz,1,0,0,20718774466,,1,3990,,,landslide-trace-1460687110.54.html
alarm-simultaneous,israel,ls-id-log-20160414024444.log.uoSCL8.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,italy,ls-id-log-20160415154250.log.CgN8jx.gz,1,0,0,15461226372,,1,3239,,,landslide-trace-1460749380.51.html
alarm-simultaneous,ivorycoast,ls-id-log-20160415065238.log.vvdxhj.gz,1,0,0,18964845507,,1,3643,,,landslide-trace-1460717574.84.html
alarm-simultaneous,malaysia,ls-id-log-20160413230236.log.Bm5zfF.gz,1,0,0,24029183713,,1,4116,,,landslide-trace-1460602970.45.html
alarm-simultaneous,mexico,ls-id-log-20160509225635.log.Zjj2FY.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,morocco,ls-id-log-20160428213304.log.vdhfXj.gz,0,1,0,,,1,,0.00%,INF,
alarm-simultaneous,nicaragua,ls-id-log-20160416002232.log.E7RK3d.gz,0,1,0,,,1,,25.78%,10h 2m 2s,
alarm-simultaneous,nigeria,ls-id-log-20160413230129.log.CyfSah.gz,1,0,0,13361617796,,1,2919,,,landslide-trace-1460602899.66.html
alarm-simultaneous,northkorea,ls-id-log-20160414090411.log.3nGtvF.gz,1,0,0,17783120100,,1,3535,,,landslide-trace-1460639063.86.html
alarm-simultaneous,norway,ls-id-log-20160413230231.log.CpNO33.gz,1,0,0,170547311,,1,32,,,landslide-trace-1460602962.55.html
alarm-simultaneous,peru,ls-id-log-20160509225647.log.Zppnu8.gz,1,0,0,8094616701,,1,1669,,,landslide-trace-1462849022.25.html
alarm-simultaneous,philippines,ls-id-log-20160502213532.log.r7eC8a.gz,1,0,0,167700579,,1,44,,,landslide-trace-1462239345.29.html
alarm-simultaneous,saudiarabia,ls-id-log-20160415130020.log.g3tvtH.gz,1,0,0,19374304842,,1,3308,,,landslide-trace-1460739631.72.html
alarm-simultaneous,somalia,ls-id-log-20160414214959.log.xzMLuy.gz,0,1,0,,,1,,0.04%,2y 124d 5h 26m 1s,
alarm-simultaneous,southafrica,ls-id-log-20160413230234.log.trP7Os.gz,1,0,0,18544474574,,1,2848,,,landslide-trace-1460602966.4.html
alarm-simultaneous,spainportugal,ls-id-log-20160416115006.log.UftLsh.gz,1,0,0,16514157568,,1,3607,,,landslide-trace-1460821816.19.html
alarm-simultaneous,syria,ls-id-log-20160413230234.log.TWTJEk.gz,1,0,0,26990330029,,1,4037,,,landslide-trace-1460602966.4.html
alarm-simultaneous,taiwan,ls-id-log-20160414094201.log.LNCjsO.gz,1,0,0,6427320218,,1,1742,,,landslide-trace-1460641333.55.html
alarm-simultaneous,thailand,ls-id-log-20160413231002.log.VXsLRL.gz,1,0,0,97445704,,1,23,,,landslide-trace-1460603414.69.html
alarm-simultaneous,uruguay,ls-id-log-20160414174048.log.ShXo4A.gz,0,1,0,,,1,,0.00%,602y 269d 13h 11m 30s,
alarm-simultaneous,westgermany,ls-id-log-20160413230143.log.fnPtxB.gz,1,0,0,11626813695,,1,2673,,,landslide-trace-1460602913.2.html
alarm-simultaneous,yugoslavia,ls-id-log-20160415142547.log.hQsTWd.gz,1,0,0,27566005775,,1,4391,,,landslide-trace-1460744759.7.html
alarm-simultaneous,zimbabwe,ls-id-log-20160413235749.log.WBXKBM.gz,1,0,0,254567183,,1,30,,,landslide-trace-1460606285.23.html
broadcast_test,aluminum,ls-id-log-20160415050833.log.bWzFLF.gz,0,1,0,,,7,,72.67%,4h 52m 2s,
broadcast_test,antimony,ls-id-log-20160415062350.log.EQvIez.gz,0,1,0,,,4,,25.00%,1m 4s,
broadcast_test,argon,ls-id-log-20160415055242.log.hMjuhs.gz,0,1,0,,,9,,54.98%,19h 43s,
broadcast_test,arsenic,ls-id-log-20160414090451.log.uXyN5x.gz,0,1,0,,,5,,1.81%,16d 21h 33m 39s,
broadcast_test,barium,ls-id-log-20160415064620.log.4Fu1oZ.gz,0,0,1,,5239004278,8,671,,,
broadcast_test,beryllium,ls-id-log-20160414091906.log.mtjcvy.gz,0,0,1,,13170907270,9,591,,,
broadcast_test,boron,ls-id-log-20160415050810.log.wF44qX.gz,0,1,0,,,5,,25.01%,215d 22h 6m 22s,
broadcast_test,bromine,ls-id-log-20160413230354.log.1TU9uk.gz,0,1,0,,,2,,0.00%,346d 9h 6m 43s,
broadcast_test,cadmium,ls-id-log-20160414090404.log.8RXqXZ.gz,0,1,0,,,5,,0.00%,3y 256d 9h 47m 11s,
broadcast_test,caesium,ls-id-log-20160414190530.log.FVHobI.gz,0,0,1,,4697109336,10,572,,,
broadcast_test,calcium,ls-id-log-20160502212125.log.J3EVFA.gz,0,1,0,,,3,,0.01%,1d 5h 6m 19s,
broadcast_test,carbon,ls-id-log-20160414174707.log.CUJuzH.gz,0,1,0,,,4,,0.01%,411783y 213d 7m 45s,
broadcast_test,cerium,ls-id-log-20160414090416.log.DbobOJ.gz,0,1,0,,,4,,0.10%,249y 309d 21h 18m 2s,
broadcast_test,chlorine,ls-id-log-20160416094211.log.zL8K4p.gz,0,0,1,,2963013357,8,335,,,
broadcast_test,chromium,ls-id-log-20160428012255.log.2LcmF7.gz,1,0,0,30039643,,1,4,,,landslide-trace-1461820986.55.html
broadcast_test,cobalt,ls-id-log-20160415050636.log.aRLDbQ.gz,0,1,0,,,7,,68.84%,1d 20h 46s,
broadcast_test,copper,ls-id-log-20160415154953.log.Hk9muN.gz,1,0,0,159544986,,2,26,,,landslide-trace-1460749804.14.html
broadcast_test,dysprosium,ls-id-log-20160414191854.log.eNEvoz.gz,0,0,1,,3821427943,8,660,,,
broadcast_test,erbium,ls-id-log-20160502212135.log.9nanMI.gz,0,1,0,,,4,,0.11%,205d 9h 58m 50s,
broadcast_test,europium,ls-id-log-20160414094525.log.vbLefy.gz,0,1,0,,,3,,0.01%,14771y 150d 18h 39m 5s,
broadcast_test,fluorine,ls-id-log-20160414190518.log.RROq3Z.gz,0,1,0,,,4,,0.05%,19y 281d 13h 17m 8s,
broadcast_test,gadolinium,ls-id-log-20160414090426.log.WZh4Av.gz,0,1,0,,,8,,50.38%,15d 3h 10m 5s,
broadcast_test,gallium,ls-id-log-20160416224157.log.Zjpeev.gz,0,1,0,,,5,,75.42%,1d 23h 54m 28s,
broadcast_test,germanium,ls-id-log-20160416010641.log.XFfIy2.gz,0,0,1,,33359538083,12,3409,,,
broadcast_test,gold,ls-id-log-20160502212149.log.epKxoq.gz,0,1,0,,,3,,0.21%,142d 23h 19m 6s,
broadcast_test,hafnium,ls-id-log-20160417073200.log.JRG3EB.gz,0,1,0,,,4,,62.51%,12d 8h 14m 21s,
broadcast_test,helium,ls-id-log-20160414092041.log.L5a3ue.gz,0,1,0,,,4,,0.20%,39m 55s,
broadcast_test,holmium,ls-id-log-20160413230326.log.hcdk2Y.gz,0,1,0,,,12,,50.05%,35d 3h 41m 19s,
broadcast_test,hydrogen,ls-id-log-20160502212131.log.Hzndll.gz,0,1,0,,,4,,34.38%,4d 8h 31m 11s,
broadcast_test,indium,ls-id-log-20160415133742.log.NrZOTZ.gz,0,1,0,,,1,,50.78%,16m 35s,
broadcast_test,iodine,ls-id-log-20160414195807.log.jubMwO.gz,0,1,0,,,4,,0.10%,2231y 116d 6h 37m 11s,
broadcast_test,iridium,ls-id-log-20160413230358.log.Md1Pw5.gz,0,1,0,,,8,,50.02%,22d 19h 12m 25s,
broadcast_test,iron,ls-id-log-20160415150855.log.VdlfEG.gz,1,0,0,46128580,,2,6,,,landslide-trace-1460747346.46.html
broadcast_test,kyrpton,ls-id-log-20160414090428.log.89sg7j.gz,0,1,0,,,5,,13.68%,8d 19h 5m 10s,
broadcast_test,lanthanum,ls-id-log-20160414225307.log.WaO0Of.gz,1,0,0,41520651,,1,8,,,landslide-trace-1460688800.92.html
broadcast_test,lithium,ls-id-log-20160415210507.log.RExmm2.gz,0,1,0,,,2,,0.00%,99y 116d 19h 53m 3s,
broadcast_test,lutetium,ls-id-log-20160413230324.log.Lsvk84.gz,0,1,0,,,4,,26.56%,10d 6h 40m 16s,
broadcast_test,magnesium,ls-id-log-20160416101451.log.eKbPR1.gz,0,1,0,,,6,,9.87%,2d 17h 28m 5s,
broadcast_test,manganese,ls-id-log-20160414190908.log.syIejo.gz,0,0,1,,15646929166,9,954,,,
broadcast_test,molybdenum,ls-id-log-20160415053634.log.sotU3N.gz,0,1,0,,,2,,12.50%,1h 28m 32s,
broadcast_test,neodymium,ls-id-log-20160414090359.log.IZGTkN.gz,0,1,0,,,9,,62.62%,22h 57m 47s,
broadcast_test,neon,ls-id-log-20160414092034.log.vRAQvQ.gz,0,1,0,,,5,,0.10%,222d 19h 1m 59s,
broadcast_test,nickel,ls-id-log-20160414221328.log.KS1qEA.gz,0,1,0,,,5,,50.02%,5y 74d 9h 48m 44s,
broadcast_test,niobium,ls-id-log-20160414150255.log.v8jIuE.gz,0,0,1,,4484010773,9,933,,,
broadcast_test,nitrogen,ls-id-log-20160416095223.log.zRZWz5.gz,0,1,0,,,5,,20.31%,56d 10h 39m 41s,
broadcast_test,osmium,ls-id-log-20160413230545.log.J13rXi.gz,0,0,1,,3416515138,9,488,,,
broadcast_test,oxygen,ls-id-log-20160505223200.log.ZuiCKV.gz,0,1,0,,,0,,0.00%,unknown,
broadcast_test,palladium,ls-id-log-20160414090358.log.CH0A6L.gz,0,1,0,,,5,,50.15%,44d 14h 52m 4s,
broadcast_test,phosphorus,ls-id-log-20160414090418.log.oIE9r5.gz,0,1,0,,,4,,6.38%,19d 21h 38m 57s,
broadcast_test,platinum,ls-id-log-20160414193003.log.vHKb4t.gz,0,1,0,,,7,,50.18%,27d 21h 4m 47s,
broadcast_test,potassium,ls-id-log-20160414204536.log.kfAHfi.gz,0,1,0,,,4,,0.05%,165y 93d 9h 43m 51s,
broadcast_test,praseodymium,ls-id-log-20160502212120.log.EeQ1tQ.gz,0,1,0,,,7,,21.93%,21h 30m 13s,
broadcast_test,promethium,ls-id-log-20160415050532.log.ivFPCM.gz,0,1,0,,,8,,50.55%,2d 12h 55m 7s,
broadcast_test,rhenium,ls-id-log-20160415050637.log.n4n2EK.gz,0,1,0,,,5,,15.83%,22h 48m 42s,
broadcast_test,rhodium,ls-id-log-20160414200743.log.ZaduTK.gz,1,0,0,604280906,,2,20,,,landslide-trace-1460678879.3.html
broadcast_test,rubidium,ls-id-log-20160414202312.log.QtLbvH.gz,0,1,0,,,7,,29.85%,1d 15h 37m 48s,
broadcast_test,ruthenium,ls-id-log-20160416093909.log.klagM9.gz,0,1,0,,,6,,57.81%,21h 30m 1s,
broadcast_test,samarium,ls-id-log-20160415005838.log.6wpoZt.gz,0,1,0,,,9,,78.17%,1h 16m 53s,
broadcast_test,scandium,ls-id-log-20160414090447.log.CTWhY4.gz,0,1,0,,,5,,0.63%,86d 2h 23m 23s,
broadcast_test,selenium,ls-id-log-20160415150615.log.GJDCls.gz,0,1,0,,,5,,51.59%,7d 2h 6m 2s,
broadcast_test,silicon,ls-id-log-20160428012345.log.Cwcbb7.gz,1,0,0,34385627,,1,6,,,landslide-trace-1461821038.33.html
broadcast_test,silver,ls-id-log-20160509230616.log.pzuknf.gz,0,1,0,,,0,,0.00%,unknown,
broadcast_test,sodium,ls-id-log-20160415150728.log.Go820b.gz,0,1,0,,,3,,0.10%,94y 261d 14h 30m 37s,
broadcast_test,strontium,ls-id-log-20160414200942.log.2j4yJf.gz,0,1,0,,,4,,12.52%,5y 107d 19h 42m 41s,
broadcast_test,sulfur,ls-id-log-20160414090848.log.iACUhw.gz,0,1,0,,,3,,0.00%,10701587y 301d 1h 22m 49s,
broadcast_test,tantalum,ls-id-log-20160415081421.log.df088j.gz,0,1,0,,,4,,50.00%,69y 117d 14h 40m 2s,
broadcast_test,technetium,ls-id-log-20160517035126.log.H1Olex.gz,1,0,0,31204908,,1,3,,,landslide-trace-1463471500.02.html
broadcast_test,tellurium,ls-id-log-20160415063336.log.Fb5jnw.gz,0,1,0,,,9,,52.26%,2d 21m 38s,
broadcast_test,terbium,ls-id-log-20160414190519.log.0Wi48o.gz,0,1,0,,,3,,51.61%,1d 15h 57m 26s,
broadcast_test,thulium,ls-id-log-20160413231448.log.TpUyj4.gz,0,1,0,,,9,,0.06%,363d 7h 11m 50s,
broadcast_test,tin,ls-id-log-20160414190650.log.EqkRI1.gz,0,1,0,,,3,,18.92%,3d 7h 46m 52s,
broadcast_test,titanium,ls-id-log-20160415150701.log.joBy6q.gz,0,1,0,,,2,,6.25%,32y 298d 9h 44m 2s,
broadcast_test,tungsten,ls-id-log-20160415150557.log.Ran8SE.gz,0,1,0,,,4,,25.00%,48s,
broadcast_test,vanadium,ls-id-log-20160414102040.log.Z4Gy7k.gz,0,1,0,,,9,,52.32%,1d 48m 7s,
broadcast_test,xenon,ls-id-log-20160415233833.log.T4bvz2.gz,0,1,0,,,3,,13.28%,23d 22h 32m 6s,
broadcast_test,ytterbium,ls-id-log-20160415154805.log.H1BrOA.gz,0,0,1,,1887457168,7,255,,,
broadcast_test,yttrium,ls-id-log-20160414190550.log.JIMWuB.gz,0,1,0,,,5,,0.21%,5y 12d 14h 8m 45s,
broadcast_test,zinc,ls-id-log-20160416024030.log.XB0GqW.gz,0,1,0,,,5,,31.33%,1d 16h 44m 56s,
broadcast_test,zirconium,ls-id-log-20160416093854.log.EG8G5y.gz,0,0,1,,4805963111,9,582,,,
mutex_test,aluminum,ls-id-log-20160406144317.log.CuD5On.gz,0,0,1,,1020966804,6,489,,,
mutex_test,antimony,ls-id-log-20160407185007.log.KXPIkL.gz,0,0,1,,8176296708,12,707,,,
mutex_test,argon,ls-id-log-20160405190213.log.smePBs.gz,0,0,1,,1306095045,6,243,,,
mutex_test,arsenic,ls-id-log-20160405185313.log.QGIzQd.gz,0,1,0,,,9,,50.00%,108d 14h 26m 31s,
mutex_test,barium,ls-id-log-20160406144649.log.VLGvtI.gz,1,0,0,819491861,,1,31,,,landslide-trace-1459968422.82.html
mutex_test,beryllium,ls-id-log-20160407185012.log.ZuGwS6.gz,0,0,1,,19965057179,8,4925,,,
mutex_test,boron,ls-id-log-20160405184315.log.l1keMd.gz,0,1,0,,,7,,50.53%,10d 2h 49m 33s,
mutex_test,bromine,ls-id-log-20160428112318.log.pGFeMX.gz,0,1,0,,,3,,3.13%,15m 3s,
mutex_test,cadmium,ls-id-log-20160407184958.log.GwD1J7.gz,0,0,1,,4358935533,12,707,,,
mutex_test,caesium,ls-id-log-20160405184148.log.7C6C6g.gz,1,0,0,127657798,,2,8,,,landslide-trace-1459896121.72.html
mutex_test,calcium,ls-id-log-20160405184353.log.jiMPJn.gz,0,1,0,,,5,,56.26%,71y 275d 17h 44m 27s,
mutex_test,carbon,ls-id-log-20160406183819.log.RqhswB.gz,0,1,0,,,5,,1.00%,3d 2h 15m 34s,
mutex_test,cerium,ls-id-log-20160407185011.log.S2WCLx.gz,0,1,0,,,4,,50.01%,1y 316d 46m 48s,
mutex_test,chlorine,ls-id-log-20160406171821.log.xVk2hb.gz,0,0,1,,11226446753,8,3004,,,
mutex_test,chromium,ls-id-log-20160405184604.log.TxSxEa.gz,0,1,0,,,7,,28.42%,21h 21m 14s,
mutex_test,cobalt,ls-id-log-20160405201042.log.BAoJb9.gz,0,0,1,,784400743,7,219,,,
mutex_test,copper,ls-id-log-20160406144608.log.Ue1VeF.gz,0,1,0,,,6,,25.13%,26d 7h 36m 32s,
mutex_test,dysprosium,ls-id-log-20160407004606.log.qxXwFp.gz,0,0,1,,6229691695,8,2181,,,
mutex_test,erbium,ls-id-log-20160405184211.log.cOr7cR.gz,0,0,1,,833243798,5,128,,,
mutex_test,europium,ls-id-log-20160407184940.log.FcCkSF.gz,0,1,0,,,5,,38.28%,23y 356d 12h 55m 53s,
mutex_test,fluorine,ls-id-log-20160406044529.log.uPUsXN.gz,1,0,0,30329789,,1,2,,,landslide-trace-1459932344.45.html
mutex_test,gadolinium,ls-id-log-20160406044447.log.7ElQ3g.gz,0,0,1,,554726706,4,118,,,
mutex_test,gallium,ls-id-log-20160407185016.log.2R49fl.gz,0,1,0,,,6,,34.49%,1d 15h 17m 9s,
mutex_test,germanium,ls-id-log-20160407185005.log.2HcZ9t.gz,0,0,1,,435114781,4,151,,,
mutex_test,gold,ls-id-log-20160406024925.log.hWNBzN.gz,0,0,1,,1853705694,5,432,,,
mutex_test,hafnium,ls-id-log-20160407184930.log.48evkM.gz,0,1,0,,,5,,52.34%,25d 22h 52m 14s,
mutex_test,helium,ls-id-log-20160406093127.log.whRccm.gz,0,0,1,,2006770427,5,148,,,
mutex_test,holmium,ls-id-log-20160405195735.log.cUlHsn.gz,0,0,1,,2156651558,6,674,,,
mutex_test,hydrogen,ls-id-log-20160407185016.log.eKybjK.gz,0,1,0,,,4,,0.11%,7y 313d 20h 8m 44s,
mutex_test,indium,ls-id-log-20160405191123.log.O8hqEH.gz,0,1,0,,,4,,70.31%,2d 22h 44m 5s,
mutex_test,iodine,ls-id-log-20160406022536.log.VV1cMi.gz,0,1,0,,,4,,50.20%,1y 140d 15h 21m 43s,
mutex_test,iridium,ls-id-log-20160405184347.log.m8we2L.gz,0,1,0,,,10,,66.81%,5h 59m 48s,
mutex_test,iron,ls-id-log-20160407185017.log.V5DFFp.gz,0,0,1,,1002253399,12,158,,,
mutex_test,kyrpton,ls-id-log-20160405184350.log.rs648l.gz,0,1,0,,,3,,50.02%,47922255y 105d 11h 52m 25s,
mutex_test,lanthanum,ls-id-log-20160405184311.log.hDvVGd.gz,0,1,0,,,5,,50.16%,6d 13h 51m 3s,
mutex_test,lithium,ls-id-log-20160407185020.log.JJ9tpe.gz,1,0,0,435408879,,2,83,,,landslide-trace-1460069431.63.html
mutex_test,lutetium,ls-id-log-20160405184304.log.wRdr2a.gz,0,1,0,,,6,,53.37%,2d 9h 35m 12s,
mutex_test,magnesium,ls-id-log-20160406044527.log.UKFrqn.gz,1,0,0,51884845,,1,26,,,landslide-trace-1459932341.55.html
mutex_test,manganese,ls-id-log-20160407185013.log.ExjJrU.gz,1,0,0,657694219,,1,50,,,landslide-trace-1460069424.47.html
mutex_test,molybdenum,ls-id-log-20160405194821.log.XMzTIU.gz,0,0,1,,522291920,4,118,,,
mutex_test,neodymium,ls-id-log-20160407185014.log.f1daRQ.gz,0,1,0,,,7,,13.49%,6d 18h 41s,
mutex_test,neon,ls-id-log-20160406044507.log.yvtxym.gz,0,0,1,,1252146268,6,489,,,
mutex_test,nickel,ls-id-log-20160406192635.log.HtwUwy.gz,1,0,0,1369460172,,2,261,,,landslide-trace-1459985210.84.html
mutex_test,niobium,ls-id-log-20160407185022.log.LizK3z.gz,0,0,1,,1243581485,6,674,,,
mutex_test,nitrogen,ls-id-log-20160406002555.log.qOSf4P.gz,0,1,0,,,4,,0.20%,31908y 216d 12h 18m 59s,
mutex_test,osmium,ls-id-log-20160407185016.log.qEKVHO.gz,0,1,0,,,7,,25.08%,17d 5h 25m 8s,
mutex_test,oxygen,ls-id-log-20160407185008.log.lLA4Hq.gz,0,1,0,,,4,,0.00%,310y 56d 3h 36m 20s,
mutex_test,palladium,ls-id-log-20160405184326.log.iw4RAi.gz,0,1,0,,,3,,62.50%,INF,
mutex_test,phosphorus,ls-id-log-20160405184423.log.QdikJJ.gz,1,0,0,34248745,,1,2,,,landslide-trace-1459896277.81.html
mutex_test,platinum,ls-id-log-20160406044332.log.oF1KJb.gz,0,1,0,,,7,,68.78%,3d 1h 5m 48s,
mutex_test,potassium,ls-id-log-20160407185027.log.hCxJme.gz,0,1,0,,,4,,0.78%,70y 179d 54m 58s,
mutex_test,praseodymium,ls-id-log-20160407004742.log.NovfqT.gz,0,0,1,,546266203,5,166,,,
mutex_test,promethium,ls-id-log-20160406044440.log.29GUOL.gz,0,1,0,,,5,,13.10%,21d 11h 27m 26s,
mutex_test,rhenium,ls-id-log-20160406044245.log.tVd4og.gz,0,1,0,,,4,,50.00%,247y 14d 4h 31m 55s,
mutex_test,rhodium,ls-id-log-20160407185010.log.uIpe9e.gz,0,0,1,,3574969196,12,707,,,
mutex_test,rubidium,ls-id-log-20160803021759.log.5uyHqI.gz,0,1,0,,,3,,3.13%,INF,
mutex_test,ruthenium,ls-id-log-20160407185020.log.ventBZ.gz,0,0,1,,11039635520,7,1579,,,
mutex_test,samarium,ls-id-log-20160406052626.log.aZGCWy.gz,0,1,0,,,6,,50.02%,21y 81d 12h 5m 53s,
mutex_test,scandium,ls-id-log-20160405184340.log.rLInF7.gz,0,1,0,,,9,,84.95%,37m 47s,
mutex_test,selenium,ls-id-log-20160406152710.log.vI66kV.gz,1,0,0,33616056,,1,3,,,landslide-trace-1459970842.24.html
mutex_test,silicon,ls-id-log-20160406045448.log.BJEIz8.gz,1,0,0,56228028,,1,9,,,landslide-trace-1459932904.73.html
mutex_test,silver,ls-id-log-20160509230620.log.wlxRp8.gz,0,1,0,,,0,,0.00%,unknown,
mutex_test,sodium,ls-id-log-20160406144652.log.yyTxZX.gz,0,1,0,,,4,,50.59%,4y 131d 41m 24s,
mutex_test,strontium,ls-id-log-20160406044357.log.0RP8J0.gz,0,0,1,,2507863720,6,674,,,
mutex_test,sulfur,ls-id-log-20160405184406.log.XK3niL.gz,0,1,0,,,3,,0.00%,INF,
mutex_test,tantalum,ls-id-log-20160406044436.log.idwlPD.gz,0,1,0,,,3,,0.00%,8968y 219d 4h 45m 7s,
mutex_test,technetium,ls-id-log-20160407185009.log.Tkd5Za.gz,0,1,0,,,8,,50.82%,4d 17h 55m 21s,
mutex_test,tellurium,ls-id-log-20160407185000.log.n1QNBF.gz,0,0,1,,233802604,3,100,,,
mutex_test,terbium,ls-id-log-20160405184319.log.3QJ28n.gz,0,0,1,,222166459,3,78,,,
mutex_test,thulium,ls-id-log-20160407185003.log.aR5ppk.gz,0,0,1,,10769450633,14,1414,,,
mutex_test,tin,ls-id-log-20160405184336.log.FVwyoI.gz,0,0,1,,2397317032,7,246,,,
mutex_test,titanium,ls-id-log-20160407184935.log.MIDCl5.gz,0,1,0,,,2,,3.13%,3y 11d 6h 37m 43s,
mutex_test,tungsten,ls-id-log-20160407185007.log.Wd6i0f.gz,0,1,0,,,3,,7.08%,4d 4h 27m 26s,
mutex_test,vanadium,ls-id-log-20160406144533.log.c4KYPP.gz,0,1,0,,,7,,68.83%,1d 1h 52m 6s,
mutex_test,xenon,ls-id-log-20160405184208.log.tRq2ll.gz,0,1,0,,,4,,56.38%,2d 1h 21m 44s,
mutex_test,ytterbium,ls-id-log-20160405184351.log.Fpp9rG.gz,0,1,0,,,4,,50.10%,4y 141d 2h 17m 48s,
mutex_test,yttrium,ls-id-log-20160405192408.log.UKd9lx.gz,1,0,0,236421249,,2,103,,,landslide-trace-1459898663.94.html
mutex_test,zinc,ls-id-log-20160407010002.log.PjPHsL.gz,1,0,0,119961262,,2,43,,,landslide-trace-1460005212.69.html
mutex_test,zirconium,ls-id-log-20160407185001.log.whNj6k.gz,0,1,0,,,5,,50.11%,318d 14h 46m 48s,
paradise_lost (aka sem),aluminum,ls-id-log-20160509225958.log.x6YAhM.gz,0,1,0,,,2,,0.00%,INF,
paradise_lost (aka sem),antimony,ls-id-log-20160414190451.log.Q7FOHT.gz,0,1,0,,,2,,0.04%,INF,
paradise_lost (aka sem),argon,ls-id-log-20160414091526.log.XK1Wdi.gz,0,1,0,,,2,,0.00%,INF,
paradise_lost (aka sem),arsenic,ls-id-log-20160414191351.log.Bg2poa.gz,0,1,0,,,3,,0.00%,237d 21h 10m 41s,
paradise_lost (aka sem),barium,ls-id-log-20160414190434.log.1vk0n5.gz,0,1,0,,,2,,0.00%,INF,
paradise_lost (aka sem),beryllium,ls-id-log-20160509225918.log.12OcmX.gz,0,1,0,,,1,,50.00%,INF,
paradise_lost (aka sem),boron,ls-id-log-20160415050521.log.MtX52t.gz,0,1,0,,,2,,0.00%,INF,
paradise_lost (aka sem),bromine,ls-id-log-20160414225432.log.gnHklb.gz,0,1,0,,,3,,0.20%,4h 2m 42s,
paradise_lost (aka sem),cadmium,ls-id-log-20160803021803.log.9iRhGp.gz,0,1,0,,,2,,0.00%,INF,
paradise_lost (aka sem),caesium,ls-id-log-20160509225944.log.9TxYjo.gz,0,1,0,,,2,,0.00%,INF,
paradise_lost (aka sem),calcium,ls-id-log-20160803021809.log.ejtgkE.gz,0,1,0,,,3,,12.50%,292471208677y 195d 15h 30m 8s,
paradise_lost (aka sem),carbon,ls-id-log-20160502212133.log.AGcVHT.gz,0,1,0,,,2,,0.00%,INF,
