Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Data-race (DR) PPs needed?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Verif CPU time (usecs),Completed DR PPs,Total DR PPs,Untested DR PPs,Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Bug type,,,,,,
broadcast_test,iridium,ls-id-log-20160701100225.log.y513uD.gz,0,0,1,,,50628312,3,3,0,5,27,0,,,,,,,
broadcast_test,iron,ls-id-log-20160630192613.log.EOBtiv.gz,1,0,0,18646341,41147802,,0,0,0,2,4,0,bugtype Deadlock -- no threads are runnable!,,,,,,
broadcast_test,kyrpton,ls-id-log-20160630213334.log.SzJ3Sp.gz,0,0,0,,,,10,10,0,21,182,0,,,,,,,
broadcast_test,lanthanum,ls-id-log-20160701030132.log.MJ0x8i.gz,1,0,0,18815344,44510965,,0,1,1,2,2,0,bugtype Deadlock -- no threads are runnable!,,,,,,
broadcast_test,lithium,ls-id-log-20160701015945.log.TEvAR2.gz,0,0,0,,,,4,23,19,24,33,0,,,,,,,
broadcast_test,lutetium,ls-id-log-20160630214955.log.vNtJM8.gz,0,0,1,,,103642745,2,2,0,4,14,0,,,,,,,
broadcast_test,magnesium,ls-id-log-20160701014445.log.PNKC3K.gz,0,0,1,,,87551953,2,2,0,4,15,0,,,,,,,
broadcast_test,manganese,ls-id-log-20160701155932.log.ScRxOw.gz,0,0,1,,,352672379,0,0,0,2,4,0,,,,,,,
broadcast_test,molybdenum,ls-id-log-20160630213512.log.u1KQtv.gz,0,0,1,,,63568849,0,0,0,2,4,0,,,,,,,
broadcast_test,neodymium,ls-id-log-20160701084146.log.DTCbyJ.gz,0,0,1,,,257076117,4,4,0,6,49,0,,,,,,,
broadcast_test,neon,ls-id-log-20160701160414.log.Y5hw5W.gz,0,0,0,,,,4,4,0,6,29,0,,,,,,,
broadcast_test,nickel,ls-id-log-20160701023324.log.fFq6mi.gz,0,0,0,,,,4,4,0,6,23,14,,,,,,,
broadcast_test,niobium,ls-id-log-20160630213244.log.02i0Ss.gz,0,0,1,,,209263437,0,0,0,2,4,0,,,,,,,
broadcast_test,nitrogen,ls-id-log-20160630222844.log.SvGMBK.gz,0,0,0,,,,21,21,0,24,1351,0,,,,,,,
broadcast_test,osmium,ls-id-log-20160701064029.log.H2zNtw.gz,0,0,1,,,206763850,6,6,0,8,218,0,,,,,,,
broadcast_test,oxygen,ls-id-log-20160630194907.log.dW8pNK.gz,0,0,0,,,,3,3,0,7,32,0,,,,,,,
broadcast_test,palladium,ls-id-log-20160701160746.log.WFDHBs.gz,0,0,0,,,,6,6,0,8,81,0,,,,,,,
broadcast_test,phosphorus,ls-id-log-20160630224818.log.mhn5c1.gz,1,1,0,702128992,6652059820,,142,146,4,169,523,0,bugtype [multiple],Deadlock -- no threads are runnable!,INVALID HEAP ACCESS (never allocated) - write to 0x01008fb4 at eip 0x00102917,,,,
broadcast_test,platinum,ls-id-log-20160701053242.log.D0vgpj.gz,0,0,1,,,178816776,5,5,0,7,90,0,,,,,,,
broadcast_test,potassium,ls-id-log-20160701101403.log.1Mk0iq.gz,0,0,0,,,,55,66,11,69,140,0,,,,,,,
broadcast_test,praseodymium,ls-id-log-20160701040033.log.8gLQ0B.gz,0,0,1,,,103051567,3,3,0,5,27,0,,,,,,,
broadcast_test,promethium,ls-id-log-20160701010947.log.jmrgEL.gz,0,0,1,,,393750205,4,4,0,6,54,0,,,,,,,
broadcast_test,rhenium,ls-id-log-20160701134524.log.7N9q1O.gz,0,0,1,,,438708878,2,2,0,4,15,0,,,,,,,
broadcast_test,rhodium,ls-id-log-20160701091240.log.TvwPJp.gz,0,0,0,,,,26,26,0,28,1218,0,,,,,,,
broadcast_test,rubidium,ls-id-log-20160701093603.log.YBhqfd.gz,0,0,1,,,392224010,7,7,0,9,272,0,,,,,,,
broadcast_test,ruthenium,ls-id-log-20160701164803.log.VOBT73.gz,0,0,0,,,,6,6,0,8,80,0,,,,,,,
broadcast_test,samarium,ls-id-log-20160701052549.log.u4JUqb.gz,0,0,0,,,,30,30,0,38,401,0,,,,,,,
broadcast_test,scandium,ls-id-log-20160701010658.log.JOHOPo.gz,0,0,1,,,46847860,2,2,0,4,16,0,,,,,,,
broadcast_test,selenium,ls-id-log-20160701142626.log.Ysq3vW.gz,0,0,0,,,,15,15,0,23,165,0,,,,,,,
broadcast_test,silicon,ls-id-log-20160701135959.log.trtMuV.gz,1,0,0,19364791,43540270,,0,0,0,2,4,2,bugtype Deadlock -- no threads are runnable!,,,,,,
broadcast_test,silver,ls-id-log-20160701145043.log.Gj3uar.gz,0,0,0,,,,13,13,0,15,224,0,,,,,,,
broadcast_test,sodium,ls-id-log-20160701160804.log.BtUNEe.gz,0,0,0,,,,19,19,0,21,137,0,,,,,,,
broadcast_test,strontium,ls-id-log-20160630234841.log.7IEQBG.gz,0,0,1,,,160048828,2,2,0,4,15,0,,,,,,,
broadcast_test,sulfur,ls-id-log-20160701055745.log.qh81d6.gz,0,0,0,,,,10,12,2,16,47,0,,,,,,,
broadcast_test,tantalum,ls-id-log-20160701060404.log.E155v7.gz,0,0,0,,,,24,24,0,26,210,0,,,,,,,
broadcast_test,technetium,ls-id-log-20160708232504.log.DtXEg0.gz,1,0,0,19121051,43500893,,2,2,0,4,7,0,bugtype USE AFTER FREE,,,,,,
broadcast_test,tellurium,ls-id-log-20160701045033.log.YPCDQ2.gz,0,0,0,,,,5,5,0,7,93,0,,,,,,,
broadcast_test,terbium,ls-id-log-20160702050137.log.c5PAJL.gz,0,0,1,,,462643296,4,4,0,6,41,0,,,,,,,
broadcast_test,thulium,ls-id-log-20160701125440.log.09o9Wk.gz,0,0,1,,,66140931,2,2,0,4,14,0,,,,,,,
broadcast_test,tin,ls-id-log-20160701150355.log.agBqU9.gz,0,0,1,,,453780524,0,0,0,2,4,3,,,,,,,
broadcast_test,titanium,ls-id-log-20160701135017.log.9gnLt4.gz,0,0,0,,,,0,61,61,0,0,0,,,,,,,
broadcast_test,tungsten,ls-id-log-20160701025358.log.iV19VD.gz,0,0,1,,,77574182,0,0,0,2,4,0,,,,,,,
broadcast_test,vanadium,ls-id-log-20160701210308.log.bNiOVS.gz,0,0,1,,,76727139,0,0,0,2,4,0,,,,,,,
broadcast_test,xenon,ls-id-log-20160630233818.log.zpKVen.gz,0,0,0,,,,1,5,4,7,12,0,,,,,,,
broadcast_test,ytterbium,ls-id-log-20160701135723.log.oiY8D9.gz,0,0,1,,,261196872,1,1,0,3,8,0,,,,,,,
broadcast_test,yttrium,ls-id-log-20160701063653.log.g42LpU.gz,0,0,0,,,,67,120,53,152,236,0,,,,,,,
broadcast_test,zinc,ls-id-log-20160701140120.log.cHgqfw.gz,0,0,1,,,59745988,2,2,0,4,16,0,,,,,,,
broadcast_test,zirconium,ls-id-log-20160701014033.log.0Gs3Q5.gz,0,0,1,,,157975669,0,0,0,2,4,0,,,,,,,
mutex_test,aluminum,ls-id-log-20160630192835.log.xnxuJz.gz,0,0,1,,,677606570,2,2,0,4,15,0,,,,,,,
mutex_test,antimony,ls-id-log-20160630192724.log.pPCYBn.gz,0,0,1,,,761944126,1,1,0,3,8,0,,,,,,,
mutex_test,argon,ls-id-log-20160701154159.log.HPNttR.gz,0,0,0,,,,11,11,0,13,1971,0,,,,,,,
mutex_test,arsenic,ls-id-log-20160701011259.log.MtCIaS.gz,0,0,1,,,680625812,5,5,0,7,86,0,,,,,,,
